IDPLATILLO,PLATILLO,CALORIAS
1145,'Carne de puerco en salsa verde con habas enzapatadas',100.0
1146,'Nopales hidalguenses',100.0
1147,'Brocheta Silvana',100.0
1148,'Chorizo en salsa mora con nopales y papas',100.0
1149,'Papas a la toscana',100.0
1150,'Pollo en salsa mora con nopales',100.0
2,'Sopa de papa con poro',100.0
3,'Pechugas aztecas',100.0
4,'Mousse de frambuesa',100.0
5,'Sopa de médula',100.0
6,'Bisteces a la cazuela',100.0
7,'Lasaña de carne',100.0
8,'Molde de 1/2 litro',100.0
9,'Molde de 1 litro',100.0
10,'Molde de 2 litros',100.0
11,'Molde contenedor liso  8X8.',100.0
12,'Molde hamburguesero',100.0
13,'Molde charola plana',100.0
14,'Sopa de setas',100.0
15,'Flan completo',100.0
18,'Arroz rojo con chícharo,100.0
19,'Sopa de verdura',100.0
21,'Filete de pescado empanizado',100.0
22,'Chuletas a la romana',100.0
23,'Cubitos al ajillo',100.0
25,'Tortitas de pollo en salsa mora',100.0
27,'ollo',100.0
28,'Lasaña de verduras',100.0
29,'Croquetas de papa con atún',100.0
31,'Nopales Elena',100.0
32,'Ejotes con tocino',100.0
33,'Aguacate relleno de atún',100.0
128,'Pechugas Lucia',100.0
129,'Pollo en salsa verde con papas y nopales',100.0
130,'Tortitas de vegetales',100.0
131,'Chayotes al gratín',100.0
132,'Puré de papa',100.0
133,'Ejotes con atún',100.0
134,'Morelianas con jamón',100.0
135,'Morelianas con pollo ',100.0
137,'Crema de chayote',100.0
138,'Arroz blanco con champiñones  calabacitas y elote',100.0
139,'Arroz rojo con chícharo,100.0
140,'Fideos chinos',100.0
142,'Cubitos de cerdo enchipotlados',100.0
143,'Lengua de res a la mexicana',100.0
145,'Champiñones al perejil',100.0
146,'Pollo a la mayonesa',100.0
147,'Papas con rajas',100.0
148,'Brócoli al gratín',100.0
149,'Tortitas de ejote',100.0
150,'Nopales con huevo',100.0
151,'Verduras a la mantequilla',100.0
153,'Quesadillas de queso Oaxaca',100.0
154,'Ensalada real',100.0
156,'Arroz oriental',100.0
157,'Arroz rojo con verduras mixtas',100.0
158,'Sopa de milpa',100.0
160,'Chuletas a la naranja',100.0
161,'Pancita de res en guajillo',100.0
163,'Brocheta de pollo',100.0
164,'Pollo a la cubana',100.0
165,'Ensalada de verdolagas',100.0
166,'Calabacitas multicolor',100.0
167,'Peritas de papa',100.0
168,'Cuaresmeños rellenos de queso Philadelphia',100.0
169,'Ensalada delicias',100.0
170,'Empanadas de queso con jamón',100.0
171,'Quesadillas de champiñones',100.0
172,'Crepas de pollo con rajas',100.0
173,'Tortitas de flor de madroño',100.0
174,'Lentejas',100.0
175,'Codo con jamón y perejil',100.0
176,'Pechugas cordon blue',100.0
177,'Cazuela mexicana',100.0
178,'Fajitas a la jardinera',100.0
179,'Brocheta de res oriental',100.0
180,'Pollo en pascal pechuga',100.0
181,'Pastel azteca',100.0
182,'Tortitas de papa',100.0
183,'Nopales al orégano',100.0
185,'Empanadas de frijoles con chorizo',100.0
186,'Ensalada festival',100.0
187,'Ensalada turca',100.0
188,'Sopa de tortilla',100.0
191,'Filete de res a la francesa',100.0
192,'Chuletas Romina',100.0
193,'Alambre de res',100.0
194,'Pechugas al chipotle',100.0
195,'Pollo a la hawaiana',100.0
196,'Ensalada Valenciana',100.0
199,'Estofado blanco',100.0
201,'Caldo de habas',100.0
203,'Carne de puerco en salsa verde con espinaca',100.0
204,'Mole de olla',100.0
206,'Bisteces rellenos de queso y tocino en pasilla',100.0
207,'Picadillo Esmeralda',100.0
208,'Albóndigas de pollo',100.0
209,'Pollo a la aceituna',100.0
210,'Huevos ahogados con rajas y crema',100.0
211,'Nopales al ajillo',100.0
212,'Calabacitas en su jugo',100.0
213,'Champiñones a la chiapaneca',100.0
214,'Ejotes salteados con almendra',100.0
215,'Ensalada de peras y duraznos',100.0
216,'Arroz blanco con cilantro y perejil',100.0
34,'Frijoles refritos',100.0
35,'Frijoles de la olla',100.0
36,'Tortillas',100.0
37,null,100.0
38,'Ensalada de avellanas',100.0
39,null,100.0
40,'Ceviche de soya',100.0
42,'Croquetas de plátano rellenas de frijoles',100.0
43,'Quesadillas de avena',100.0
44,'Natilla de vainilla',100.0
45,'Natilla de chocolate',100.0
46,'Gelatina de mosaico',100.0
47,'Gelatina de agua',100.0
48,'Flan napolitano',100.0
50,'Totopos',100.0
51,'Tostadas horneadas',100.0
52,'Papas a la francesa',100.0
53,'Papas de gajos',100.0
55,null,100.0
56,'Salsa chipotle',100.0
57,'Salsa de chile de árbol',100.0
58,null,100.0
60,'Fruta',100.0
61,'Verduras al vapor',100.0
62,'Ensalada Juliana',100.0
63,'Arroz con espinaca y nuez',100.0
64,'Caldo de camarón',100.0
65,'Fusilli verde',100.0
66,'Paella',100.0
67,'Ceviche de pescado',100.0
68,'Filete de res a la gringa',100.0
69,'Pata de res en hongo',100.0
70,'Quesadillas de sesos',100.0
71,'Pancita de res en verde',100.0
72,'Bisteces de carne molida',100.0
73,'Pechugas con rajas y crema',100.0
74,'Pollo empanizado',100.0
75,'Papas con champiñones rajas y tocino',100.0
76,'Papas con chorizo',100.0
78,'Ensalada mexicana',100.0
79,'Ensalada ligera',100.0
80,'Empanadas hawaianas',100.0
81,'Pastel de vainilla',100.0
82,'Pastel de chocolate',100.0
83,'Pastel de zanahoria',100.0
84,'Arroz con leche',100.0
85,'Bollo sencillo',100.0
86,'Bollos rellenos de queso Philadlphia con chipotle',100.0
87,'Pastel de carne',100.0
88,'Sopa de pasta',100.0
89,'Arroz blanco con chícharo y zanahoria',100.0
90,'Fusilli con crema y jitomate',100.0
91,'Costillas a la bbq',100.0
92,'Pechuga rellena de jamón y queso amarillo',100.0
93,'Pechuga empanizada sin rellenar',100.0
94,'Milanesa de res',100.0
96,null,100.0
97,'Natilla de rompope',100.0
99,'Arroz verde con morrón y elote',100.0
101,'Crema de almendra',100.0
102,'Plumita al queso',100.0
103,'Carne de puerco en salsa mora con nopales',100.0
104,'Picadillo a la inglesa',100.0
105,'Picadillo mexicano',100.0
106,'Fajitas campiranas',100.0
108,'Pechugas selva negra',100.0
109,'Pollo enchilado pierna',100.0
111,'Calabacitas a la mexicana',100.0
112,'Coliflor Reyna',100.0
113,'Papas bravas',100.0
114,'Nopales en su jugo',100.0
115,'Ensalada Manuel',100.0
116,'Ensalada romana',100.0
118,'Empanadas de papa con atún',100.0
119,'Filete de pescado asado',100.0
120,'Quesadillas de flor de calabaza',100.0
122,'Crema de cilantro',100.0
123,'Spaghetti al chipotle',100.0
126,'Fajitas al ajonjolí',100.0
297,'Crema de zanahoria',100.0
298,'Carne de puerco en verdecito',100.0
299,'Lengua de res en salsa de nuez',100.0
300,'Machaca con huevo',100.0
302,'Pechugas tailandesas',100.0
303,'Pollo Norteñita',100.0
304,'Suflé de calabaza',100.0
305,'Ensalada caribeña',100.0
306,'Ensalada Sofía',100.0
307,'Pechugas campesinas',100.0
308,'Pollo al limón',100.0
309,'Acelgas rellenas de queso',100.0
310,'Champiñones al romero con tocino',100.0
312,'Sopa valenciana',100.0
314,'Fajitas oaxaqueñas',100.0
315,'Cubitos a la mostaza',100.0
316,'Pechugas en salsa de nuez',100.0
317,'Pollo tahitiano',100.0
318,'Poblanos rellenos de flor de calabaza y queso',100.0
319,'Croquetas de papa con espinaca',100.0
320,'Calabacitas con rajas y elote',100.0
321,'Verduras salteadas al ajonjolí',100.0
322,'Filete de pescado a la gringa',100.0
323,'Pechuga marinada',100.0
324,'Costillas tailandesas',100.0
326,'Pechugas a la mostaza',100.0
327,'Crepas de flor de calabaza',100.0
328,'Poblanos empapelados',100.0
329,'Charola pavera',100.0
330,'Arroz amarillo con arándano y cacahuate',100.0
331,'Fusilli valenciano',100.0
332,'Charola pollera',100.0
334,'Chicloso',100.0
336,'Vegetales en su jugo',100.0
337,'Papas con nata',100.0
338,'Ensalada Lucia',100.0
339,'Spaghetti con jamón y perejil',100.0
340,null,100.0
341,'Albóndigas de res en caldillo',100.0
343,'Fajitas Eugenia',100.0
344,'Pechugas festival',100.0
345,'Cubitos agridulces',100.0
346,'Papas al horno ',100.0
347,'Ensalada mediterránea',100.0
348,'Arroz rojo con plátanos fritos',100.0
349,'Carne de puerco en salsa mora con verdolagas',100.0
350,'Lengua de res a la veracruzana',100.0
352,'Bisteces María',100.0
353,'Pollo a la hortaliza',100.0
354,'Champiñones al ajillo',100.0
355,'Nopales a la mexicana',100.0
356,'Cochinita pibil',100.0
357,'Cocido estilo Pamplona',100.0
358,'Pechugas a la Inglesa',100.0
360,'Arroz libanes',100.0
362,'Pollo a la cazuela',100.0
363,'Crepas de soya con champiñones',100.0
364,'Ensalada italiana',100.0
365,'Chuletas enchiladas ',100.0
367,'Camarones a la brava',100.0
368,'Lomo enchilado',100.0
369,'Pollo mechado',100.0
370,'Ensalada de la India',100.0
371,'Aderezo de la casa',100.0
372,'Aderezo 1000 islas',100.0
373,'Papas chirrionas',100.0
374,'Rollo crujiente',100.0
375,'Picadillo primavera',100.0
2064,'Chambarete en salsa de chile de árbol',100.0
2086,'Chayotes al perejil 10 de mayo',100.0
378,'Cocido español',100.0
379,'Caldo de chambarete',100.0
380,'Estofado supremo',100.0
381,'Asado blanco',100.0
2087,'Quesadillas de tinga 10 de mayo',100.0
383,'Cuete a la española',100.0
2088,'Quesadillas de flor de calabaza 10 de mayo',100.0
385,'Arroz amarillo con morrón y zanahoria',100.0
2099,'Paella día del padre',100.0
387,'Cubitos al olivo',100.0
2105,'Lasaña de carne día del padre',100.0
389,'Cocido de res',100.0
2110,'Papas al horno día del padre',100.0
2132,'Bolillo día del padre',100.0
392,'Rollitos campestres',100.0
2143,'Watusi carne seca natural',100.0
2148,'Lomo mechado almendrado',100.0
395,'Bisteces silvestres',100.0
2162,'Ensalada de nopales 15 de sep',100.0
2170,'Mixiotes de pollo con setas y nopales muslo',100.0
2180,null,100.0
399,'Brocheta cielo mar y tierra 10 de mayo',100.0
400,'Lengua de res a la Vizcaína',100.0
401,'Pancita de res en hongo',100.0
2208,'null',100.0
2213,'Falda de cerdo enchilada navidad',100.0
404,'Crema de calabaza',100.0
405,'Carne de puerco en salsa verde con nopales',100.0
406,'Cubitos estilo vienés',100.0
2220,'Melanzana crema de almendras con café ',100.0
408,'Pollo en hongo',100.0
409,'Aderezo de mostaza',100.0
2223,'Melanzana crema de avellanas con cacao',100.0
411,'Ensalada africana',100.0
412,'Bisteces estilo Aguascalientes',100.0
413,'Panqué de mora azul',100.0
414,'Tinga de pollo',100.0
2270,'Mole Poblano ',100.0
416,'Natilla de canela',100.0
417,'Pollo en salsa china',100.0
418,'Croquetas de papa con pollo',100.0
2272,'Crema de cacahuate Crunch Rancho San Rafael',100.0
420,'Pollo en salsa verde con verdolagas',100.0
421,'Pollo a la Marsala',100.0
2275,'Arroz blanco con morrón día del padre',100.0
2286,'Champiñones con chile de árbol día del padre',100.0
422,'Arroz blanco con rajas de poblano y elote',100.0
2291,null,100.0
424,'Pollo en salsa poblana',100.0
2292,'Crema de cacahuate Natural Rancho San Rafael',100.0
426,'Volteado de canela con nuez',100.0
2296,'Gelatina de fresas con crema día del padre',100.0
2313,'Pechuga deshebrada en mole ',100.0
429,'Empanadas de pollo con rajas y crema',100.0
2314,'Palitos de pan arabe',100.0
433,'Pastel especial de zanahoria',100.0
434,'Lasaña de mariscos',100.0
437,'Pancita de res con nopales al piquín',100.0
438,'Brócoli salteado con tocino y nuez',100.0
440,'Ensalada hawaiana',100.0
441,'Ensalada irlandesa',100.0
442,'Ensalada tropical',100.0
443,'Ensalada del cheff',100.0
444,'Ensalada frutal',100.0
445,'Ensalada de manzana 15 de sep',100.0
446,'Ensalada de nopales',100.0
450,'Chiles en nogada',100.0
454,'Macarrón al chipotle',100.0
455,'Codo al queso',100.0
456,'Arroz blanco con habas verdes',100.0
458,'Filete de res huasteco',100.0
459,'Codo con crema y jitomate',100.0
460,'Pollo en encacahuatado',100.0
463,'Arroz verde poblano',100.0
464,'Chilorio',100.0
466,'Pechugas rellenas de huitlacoche en salsa de flor de calabaza',100.0
467,'Pollo Aky',100.0
468,'Arroz árabe',100.0
469,'Lomo a la jamaica',100.0
470,'Crepas de huitlacoche',100.0
473,'Nopales navegantes',100.0
474,'Gelatina light',100.0
475,'Sopa de nopales con champiñones ',100.0
476,'Sopa campestre',100.0
477,'Codo con brócoli',100.0
481,'Chambarete en entomatado',100.0
482,'Calabacitas libanesas',100.0
483,'Charales en salsa verde con nopales y papas',100.0
486,'Carne de puerco mixteca',100.0
487,'Lengua de res en salsa poblana',100.0
488,'Cubitos arrieros al chipotle',100.0
489,'Papas al ajillo',100.0
490,'Bisteces de res estilo Zacatlán',100.0
1151,'Plumita con jitomate y especies',100.0
1153,'Nopales con setas',100.0
1155,'Rollo sorpresa',100.0
1156,'Tinga de res Esmeralda',100.0
1158,'Papas a la romana',100.0
1162,null,100.0
1163,'Manitas de puerco en guajillo',100.0
1169,'Ensalada de papa Florencia',100.0
1172,'Tortitas de chicharrón con nopales en salsa mora',100.0
1175,'Quesadillas de choriqueso',100.0
1176,'Tortitas de espinaca con queso panela',100.0
1177,'Carne de puerco en coloradito',100.0
1178,'Suflé de ejotes',100.0
1179,'Chayotes con crema y jamón',100.0
1180,'Lengua de res en pascal',100.0
1184,'Arroz rojo con rajas de poblano y elote',100.0
1185,'Arroz rojo con papa y zanahoria',100.0
1187,'Papas arabes',100.0
1188,'Chayotes rellenos de jamón y queso empanizados',100.0
1190,'Arroz rojo con ejote y papa',100.0
1195,'Cubitos estilo maltés',100.0
1196,'Arroz blanco con chayote ,100.0
